alias,channels_closed
DefineLightning,49
037cd6622714f9c4a662,41
Crypto8888LN,68
HeldenLight,6209
Bonding Jumper,539
NeofightGear,3
njvijay.lightning1,1580
Salamander,27
0253ed223b7f7f0f7f13,0
03505eaada35f8f7b084,3
TabBlitz,100
Tails,978
joloko,3
02f5cf18c27cec269dba,5
0305b2ddca798fc571ff,0
SWISSLippi,35
0247e163b9809f585a79,788
Joltfun.com Game Shop (LND),0
0384d828249b6e20bbe3,11
RaspiDumpa,531
024c36d6b03496f25080,3
02a89da233076e2c2a07,0
ACINQ,53079
035ad76a17bc130c0adc,0
TheRockLightning,2636
NiceNode,1030
GERRIEdeSTER,10
LightningBank1,2017
03867ac28d1f41a263cc,17
028a5b0bc84ed8ac8386,8
03aa776656f3d083baf8,46
SLEEPYCHASER,24
03308a80c168bf6e9118,3
Feedback1,5
cork,7793
Electrophorus [W_C_B],2513
raspigeek,24
38f56bc43617,0
LIGHTNING,0
Cryptovios 🚀⚡️,634
lightningauction.net,726
TheobromaSatoshi,2556
LnAus,287
Groot,0
Fulgurant,28
btcishope,72
blaise,1107
Orange13lock,277
rayito,0
0275d0eeffb915a8b9ec,131
mynodebtc.com Bobby,2298
z9z0b,3
0202a10e9dc29df67d6b,26
FutarecamHub,52
03ebd45ca6e53033a473,1613
Alaskan Moon,634
02f731680cb29ad6673a,685
TeBTC,1906
02ded53f55d004383a59,20
miniNode,16
036ad733269b31ddb39a,327
03d0df9d1779aeaaf4d0,7
Warehouse13 [myNode],58
mrpink [TS],0
HashQuark03,15241
02f656cd5a4c472d86b6,6
SKMC,13
03f9446da7a14c33da7a,19
ECLSWISS8123,2172
035394fff7176cadd8a2,283
Chaos_Wind,22
03ab94b44f23b98668cc,20
Nuclideon,6
pepelatz,14
REDARTIST,2249
DIGITALMINDS,958
raspihh,20
03cc8413485736458d90,506
cryptofractalSF,105
STRANGETRAWL,1128
02d2487831e1e181b395,3
mssv,81
033853466aae54543a7d,6
UZsNodl,3
02d7d2026a180dc70287,174
dcbtc,13264
032b8a4ec91ff11569be,10
food4bitcoin,8387
MrD,408
03b323a1332fd1618f94,3
Nick-HZ,25
Lampyridae,615
03e63f069b261f16d33f,103
Bitvan,774
Satoshi-MOBO-Node,5
Beezy,539
Ozzmosis,6136
jb55.com,3626
dasKapital,435
ViresInNumeris,5294
KitsuNode,59
024ac40797a9e3b111a3,325
STRANGETOLL,40
03d13cf676d506686329,635
TheWord3,2886
0380d3a714e38c5edecf,458
02d359f7fdf322369b38,102
TheDarkKnight,735
A Series Of Tubes,1470
02333952daf3613ba138,643
Jin,15
PrestonPysh,18750
MyPocket,272
degenscrew.com,6
12345678901234567890123456789012,25
lightningboost.info,1741
03551b2302c814db7470,149
2canode,663
1te,141
02ead39ee7e08d93b25e,9
BitcoinNotBombs,3
0274db6aba065463931b,6
Laser_sheep,1776
Organic Pom,1189
03c9d4b1aa4ef980b6f4,1227
Hodl Comrades,5223
lnurl-pay.me,9236
BriteLite,210
031add32c81f8b567903,37
032581f3e6adbcfb9ba5,3
ABSURDA,637
KamilOpole,696
IslandDSP,403
0323f3ec28b90b910657,459
021cf7e967397fea7a8f,11
SEABASS,256
OrangeCoinGood,625
dollarcostaverage.me,1337
021cb4831c1d7eaa6823,350
FBanks,8
Lightning Jax 60R,1100
NoBetterThanNoise,1782
0315094d78b565336b26,131
curro,728
022b91dea8c7e80768b7,64
SedentrySalesman,332
sc4lpel0,1031
02e4d3e9e54e5d9a3e93,36
crawford,203
Naruto,6
LazyLightning,124
nodl-549faecf77707e7e836c6a34,0
0391da4c7930d3aacf68,67
tower_takeover,5
TevaL,3
Geldnode,954
Mercury,15
BeffJindel LND,0
02e6853e9f8906aec3fb,4
ELYRIA,3
TimeChain8801,562
0267e715177a9058880b,729
�masterdogen�,681
micasa,5
LATENTMASTER,815
BlackbullTradingPost,678
03ae8a63996a54fb8c2e,68
03054c94b8a6f48b22ae,2091
02e6cc469ad8fb21ac46,136
RideTheLightning,0
mblitz,28
satsman,317
03607aaf2cdc9ab9f2d3,5
AB5555,69
dadbeef,2780
037ad0fba582abde3c44,657
accruvia.com [LN-10],148
ZippyBit,1416
coinsnap,3
032dbc51922b018ede1b,5
Indra,4445
0293a999ab9610149f5b,8
S0mar3w1,0
VirusNode,266
Watcher on The Wall,950
MEDUSA,1630
0217c28ce8fcb419250c,156
038878e8f26cfe05e534,0
Zairo,584
node3-us-east2,9132
02953ac7b33821cb710f,3
